reg_no,image
RV6581,"https://b2c-cdn.carsome.my/B2C/9f23cce7-2e8b-4b8e-b193-ba963b434d52.JPG"
VAN552,"https://b2c-cdn.carsome.my/B2C/5b6aaa62-0613-415b-9715-ed366b572e15.jpg"
VMR7964,"https://b2c-cdn.carsome.my/B2C/298f0678-82ea-4a04-8c49-c2c3372ec025.jpg"
ALJ8353,"https://b2c-cdn.carsome.my/B2C/ae4d553a-14f0-4c5c-b383-d3cfd23817bb.jpg"
PMU922,"https://b2c-cdn.carsome.my/B2C/0b4059dd-e5c8-42b6-a750-ce449016aa89.jpg"
MDD7086,"https://b2c-cdn.carsome.my/B2C/b847a3c9-7707-4773-8fb9-e3323c22527c.jpg"
PNA9909,"https://b2c-cdn.carsome.my/B2C/44865c90-86f8-48f5-9e29-ff1c240c63f4.jpg"
ALL5440,"https://b2c-cdn.carsome.my/B2C/a7e8f2d3-10d1-4bd0-94af-41de4546a6ba.jpg"
DDF4770,"https://b2c-cdn.carsome.my/B2C/6b600293-9ecd-4541-a8c5-ad3101ecf264.jpg"
VMS5332,"https://b2c-cdn.carsome.my/B2C/7154a4b3-d780-4d9c-a482-d68d1896578d.jpg"
VX1296,"https://b2c-cdn.carsome.my/B2C/536cadb0-5c1f-447a-80f8-1582725cf4f3.jpg"
VBB3201,"https://b2c-cdn.carsome.my/B2C/d87a7e73-ef42-482c-9d06-64b85a74a560.jpg"
VCP4270,"https://b2c-cdn.carsome.my/B2C/7dc9f9b7-a254-43ae-a11b-e991a7cf6d47.jpg"
VCN715,"https://b2c-cdn.carsome.my/B2C/635aadf9-e4d3-440b-8bb5-96c7b66f3090.jpg"
VCD9138,"https://b2c-cdn.carsome.my/B2C/f3f7e11f-8c07-443a-bec3-a5f33ec8131e.jpg"
BNV9556,"https://b2c-cdn.carsome.my/B2C/0bd84e7e-3956-4581-8acd-c41903ac40a0.jpg"
PNK7075,"https://b2c-cdn.carsome.my/B2C/ffa21173-30cf-4c3c-9904-7374d9647284.jpg"
RY5634,"https://b2c-cdn.carsome.my/B2C/4fe311f3-1c0f-4e90-83b6-d2704557ca5e.jpg"
JTS6411,"https://b2c-cdn.carsome.my/B2C/4fa40d77-fa09-4ad6-8e0e-eb34781fe134.JPG"
VAC7539,"https://b2c-cdn.carsome.my/B2C/c3dbd491-1734-4f66-8acd-680628631842.jpg"
JTC897,"https://b2c-cdn.carsome.my/B2C/d5bb5636-c9eb-4c00-9c70-12294c0b02a8.jpg"
VBA9846,"https://b2c-cdn.carsome.my/B2C/b1ee4e55-08d9-4ccd-a5f1-76e6d37bac9d.JPG"
CEC9473,"https://b2c-cdn.carsome.my/B2C/a24412a2-084d-468e-88b6-9692fcfb1456.jpg"
VMT4504,"https://b2c-cdn.carsome.my/B2C/13139086-7a06-4898-8f29-22d4fa61c6fc.jpg"
JUF8617,"https://b2c-cdn.carsome.my/B2C/be585731-6cd0-42c2-876d-331d2eb5a153.jpg"
VCW4998,"https://b2c-cdn.carsome.my/B2C/a349ef68-716e-44f0-8888-8bd43ee183e7.jpg"
PNB4765,"https://b2c-cdn.carsome.my/B2C/42734543-feec-4fcb-8827-710882c3b5bd.jpg"
JSF9091,"https://b2c-cdn.carsome.my/B2C/95b51913-7536-49bc-8185-71fa0432442c.jpg"
VDS3528,"https://b2c-cdn.carsome.my/B2C/0f09a88d-a1e1-4267-b652-3d3deb129381.jpg"
VDE6306,"https://b2c-cdn.carsome.my/B2C/5ae28dcd-fcf5-49be-bbd6-bead47818dbd.jpg"
ALJ4230,"https://b2c-cdn.carsome.my/B2C/67a77087-1496-43ec-ae2a-912786a35e93.jpg"
KET8386,"https://b2c-cdn.carsome.my/B2C/fdaf885a-b4fa-4dbd-957c-bd58bb4bf9e3.JPG"
