id,brand,model,variant,cleaned,reason
61961,TOYOTA,VIOS,E,TOYOTA VIOS E,low score
73834,KIA,CERATO,K3,KIA CERATO K3,low score
4669,BMW,X,X1,BMW X X1,low score
101642,PERODUA,MYVI,X,PERODUA MYVI X,low score
8205,BMW,X,X1,BMW X X1,low score
67092,AUDI,Q3,TFSI,AUDI Q3 TFSI,low score
111046,TOYOTA,VELLFIRE,Z,TOYOTA VELLFIRE Z,low score
107339,PERODUA,MYVI,AV,PERODUA MYVI AV,low score
16923,HONDA,CITY,HYBRID,HONDA CITY HYBRID,low score
102570,PERODUA,MYVI,AV,PERODUA MYVI AV,low score
61989,TOYOTA,VIOS,G,TOYOTA VIOS G,low score
61980,TOYOTA,VIOS,G,TOYOTA VIOS G,low score
48350,PERODUA,BEZZA,X,PERODUA BEZZA X,low score
61985,TOYOTA,VELLFIRE,Z,TOYOTA VELLFIRE Z,low score
61986,TOYOTA,YARIS,E,TOYOTA YARIS E,low score
102572,PERODUA,MYVI,H,PERODUA MYVI H,low score
47407,PERODUA,MYVI,X,PERODUA MYVI X,low score
60939,TOYOTA,VELLFIRE,-,TOYOTA VELLFIRE ,low score
62010,TOYOTA,YARIS,G,TOYOTA YARIS G,low score
62006,TOYOTA,VELOZ,,TOYOTA VELOZ ,low score
8221,BMW,I,I7,BMW I I7,low score
62063,TOYOTA,INNOVA,E,TOYOTA INNOVA E,low score
48587,PERODUA,MYVI,SE,PERODUA MYVI SE,low score
25698,HONDA,CR-V,I-VTEC,HONDA CRV IVTEC,low score
47347,PERODUA,AXIA,G,PERODUA AXIA G,low score
57366,TOYOTA,CAMRY,V,TOYOTA CAMRY V,low score
48595,PERODUA,MYVI,G,PERODUA MYVI G,low score
73953,KIA,CERATO,,KIA CERATO ,low score
2260,BMW,X,X4,BMW X X4,low score
67304,AUDI,A3,TFSI,AUDI A3 TFSI,low score
62051,TOYOTA,VIOS,E,TOYOTA VIOS E,low score
48649,PERODUA,MYVI,EZ,PERODUA MYVI EZ,low score
48007,PERODUA,MYVI,H,PERODUA MYVI H,low score
50079,PORSCHE,MACAN,S,PORSCHE MACAN S,low score
73987,KIA,OPTIMA K5,,KIA OPTIMA K5 ,low score
67334,AUDI,RS3,,AUDI RS3 ,low score
8286,BMW,X,X1,BMW X X1,low score
73948,KIA,SPORTAGE,,KIA SPORTAGE ,low score
24724,HONDA,BR-V,V I-VTEC,HONDA BRV V IVTEC,low score
31806,PROTON,X50,EXECUTIVE,PROTON X50 EXECUTIVE,low score
62080,TOYOTA,VIOS,E,TOYOTA VIOS E,low score
73971,KIA,OPTIMA K5,,KIA OPTIMA K5 ,low score
68800,CHERY,OMODA E5,,CHERY OMODA E5 ,low score
62055,TOYOTA,VIOS,E,TOYOTA VIOS E,low score
74241,KIA,SPORTAGE,,KIA SPORTAGE ,low score
48642,PERODUA,MYVI,AV,PERODUA MYVI AV,low score
60927,TOYOTA,ESTIMA,,TOYOTA ESTIMA ,low score
62093,TOYOTA,VIOS,G,TOYOTA VIOS G,low score
62052,TOYOTA,VIOS,E,TOYOTA VIOS E,low score
109801,TOYOTA,YARIS,G,TOYOTA YARIS G,low score
48759,PERODUA,MYVI,AV,PERODUA MYVI AV,low score
87542,HONDA,HR-V,V,HONDA HRV V,low score
67551,AUDI,Q3,TFSI,AUDI Q3 TFSI,low score
107745,PERODUA,AXIA,SE,PERODUA AXIA SE,low score
74023,KIA,SORENTO,XM,KIA SORENTO XM,low score
74085,KIA,OPTIMA K5,,KIA OPTIMA K5 ,low score
67933,AUDI,Q5,-,AUDI Q5 ,low score
62085,TOYOTA,YARIS,E,TOYOTA YARIS E,low score
48644,PERODUA,MYVI,SE,PERODUA MYVI SE,low score
74118,KIA,CERATO,,KIA CERATO ,low score
47747,PERODUA,MYVI,X,PERODUA MYVI X,low score
62092,TOYOTA,VIOS,G,TOYOTA VIOS G,low score
25804,HONDA,CR-V,I-VTEC,HONDA CRV IVTEC,low score
14271,HONDA,JAZZ,HYBRID,HONDA JAZZ HYBRID,low score
54304,TOYOTA,VELLFIRE,,TOYOTA VELLFIRE ,low score
62581,TOYOTA,VIOS,J,TOYOTA VIOS J,low score
14102,HONDA,HR-V,I-VTEC V,HONDA HRV IVTEC V,low score
62116,TOYOTA,YARIS,E,TOYOTA YARIS E,low score
62798,TOYOTA,INNOVA,G,TOYOTA INNOVA G,low score
65275,TOYOTA,INNOVA,X,TOYOTA INNOVA X,low score
62716,TOYOTA,VIOS,J,TOYOTA VIOS J,low score
112095,TOYOTA,CAMRY,G,TOYOTA CAMRY G,low score
102645,PERODUA,MYVI,SE,PERODUA MYVI SE,low score
46838,PERODUA,MYVI,SXI,PERODUA MYVI SXI,low score
102647,PERODUA,MYVI,AV,PERODUA MYVI AV,low score
74159,KIA,SORENTO,,KIA SORENTO ,low score
97643,HONDA,HR-V,E:HEV RS,HONDA HRV EHEV RS,low score
67942,AUDI,A3,TFSI,AUDI A3 TFSI,low score
62110,TOYOTA,VELLFIRE,X,TOYOTA VELLFIRE X,low score
101660,PERODUA,ALZA,SE,PERODUA ALZA SE,low score
19911,HONDA,JAZZ,HYBRID,HONDA JAZZ HYBRID,low score
74151,KIA,CERATO,,KIA CERATO ,low score
48687,PERODUA,AXIA,G,PERODUA AXIA G,low score
62120,TOYOTA,VIOS,G,TOYOTA VIOS G,low score
63098,TOYOTA,VIOS,J,TOYOTA VIOS J,low score
67973,AUDI,A1,TFSI,AUDI A1 TFSI,low score
10648,BMW,X,X1,BMW X X1,low score
63323,TOYOTA,WISH,,TOYOTA WISH ,low score
74229,KIA,OPTIMA K5,,KIA OPTIMA K5 ,low score
74234,KIA,OPTIMA K5,,KIA OPTIMA K5 ,low score
48780,PERODUA,ALZA,EZ,PERODUA ALZA EZ,low score
102664,PERODUA,ALZA,SE,PERODUA ALZA SE,low score
68087,AUDI,TT,TFSI,AUDI TT TFSI,low score
104193,PERODUA,ALZA,EZ,PERODUA ALZA EZ,low score
63406,TOYOTA,VIOS,G,TOYOTA VIOS G,low score
68095,AUDI,A4,TFSI,AUDI A4 TFSI,low score
62157,TOYOTA,VIOS,J,TOYOTA VIOS J,low score
68101,AUDI,A3,TFSI,AUDI A3 TFSI,low score
107752,PERODUA,MYVI,SE,PERODUA MYVI SE,low score
54263,TOYOTA,VIOS,J,TOYOTA VIOS J,low score
68094,AUDI,A6,TFSI,AUDI A6 TFSI,low score
47735,PERODUA,MYVI,SE,PERODUA MYVI SE,low score
108178,PERODUA,MYVI,SE,PERODUA MYVI SE,low score
2331,BMW,X,X1,BMW X X1,low score
62162,TOYOTA,WISH,,TOYOTA WISH ,low score
62156,TOYOTA,CAMRY,E,TOYOTA CAMRY E,low score
74287,KIA,SORENTO,,KIA SORENTO ,low score
113130,TOYOTA,SIENTA,G,TOYOTA SIENTA G,low score
48820,PERODUA,ALZA,EZ,PERODUA ALZA EZ,low score
113131,TOYOTA,VIOS,E,TOYOTA VIOS E,low score
51706,TOYOTA,VIOS,G,TOYOTA VIOS G,low score
63743,TOYOTA,VIOS,G,TOYOTA VIOS G,low score
74298,KIA,CARNIVAL,YP,KIA CARNIVAL YP,low score
74300,KIA,SPORTAGE,,KIA SPORTAGE ,low score
98793,LEXUS,CT200H,,LEXUS CT200H ,low score
68400,BISON,BJ 1039,,BISON BJ 1039 ,low score
62177,TOYOTA,CAMRY,G,TOYOTA CAMRY G,low score
74297,KIA,RIO,SX,KIA RIO SX,low score
74327,KIA,SPORTAGE,,KIA SPORTAGE ,low score
51887,TOYOTA,ALPHARD,S,TOYOTA ALPHARD S,low score
74313,KIA,PICANTO,,KIA PICANTO ,low score
74294,KIA,OPTIMA K5,,KIA OPTIMA K5 ,low score
51670,TOYOTA,ALPHARD,,TOYOTA ALPHARD ,low score
1355,BMW,X,X1,BMW X X1,low score
113146,TOYOTA,AVANZA,,TOYOTA AVANZA ,low score
74312,KIA,OPTIMA K5,,KIA OPTIMA K5 ,low score
8625,BMW,X,X1,BMW X X1,low score
46770,PERODUA,MYVI,AV,PERODUA MYVI AV,low score
102677,PERODUA,ALZA,SE,PERODUA ALZA SE,low score
62223,TOYOTA,YARIS,E,TOYOTA YARIS E,low score
47865,PERODUA,BEZZA,X,PERODUA BEZZA X,low score
68829,CHERY,OMODA 5,H,CHERY OMODA 5 H,low score
63895,TOYOTA,VIOS,E,TOYOTA VIOS E,low score
68943,CHEVROLET,OPTRA,,CHEVROLET OPTRA ,low score
62279,TOYOTA,VIOS,G,TOYOTA VIOS G,low score
68966,CITROEN,DS3,VTI,CITROEN DS3 VTI,low score
74357,KIA,CERATO,,KIA CERATO ,low score
109136,PERODUA,ALZA,EZ,PERODUA ALZA EZ,low score
53402,TOYOTA,WISH,X,TOYOTA WISH X,low score
50071,PORSCHE,MACAN,,PORSCHE MACAN ,low score
55894,TOYOTA,C-HR,,TOYOTA CHR ,low score
69183,FERRARI,812 GTS,,FERRARI 812 GTS ,low score
114200,KIA,CERATO,,KIA CERATO ,low score
62293,TOYOTA,WISH,X,TOYOTA WISH X,low score
97688,HONDA,HR-V,I-VTEC V,HONDA HRV IVTEC V,low score
114217,KIA,PICANTO,EX,KIA PICANTO EX,low score
69276,FERRARI,488 GTB,,FERRARI 488 GTB ,low score
113177,TOYOTA,ALPHARD,,TOYOTA ALPHARD ,low score
57665,TOYOTA,YARIS,G,TOYOTA YARIS G,low score
27395,LEXUS,LX570,,LEXUS LX570 ,low score
114235,KIA,RIO,SX,KIA RIO SX,low score
114222,KIA,SPORTAGE,EX,KIA SPORTAGE EX,low score
107756,PERODUA,MYVI,EZ,PERODUA MYVI EZ,low score
55996,TOYOTA,ALPHARD,,TOYOTA ALPHARD ,low score
114241,KIA,PICANTO,,KIA PICANTO ,low score
48924,PERODUA,MYVI,EZI,PERODUA MYVI EZI,low score
62335,TOYOTA,VIOS,G,TOYOTA VIOS G,low score
62300,TOYOTA,CAMRY,V,TOYOTA CAMRY V,low score
8722,BMW,X,X7,BMW X X7,low score
8713,BMW,X,X7,BMW X X7,low score
50119,PORSCHE,CAYENNE,,PORSCHE CAYENNE ,low score
57479,TOYOTA,VIOS,J,TOYOTA VIOS J,low score
102683,PERODUA,MYVI,SE,PERODUA MYVI SE,low score
114246,KIA,SORENTO,XM,KIA SORENTO XM,low score
114250,KIA,PICANTO,EX,KIA PICANTO EX,low score
62286,TOYOTA,YARIS,E,TOYOTA YARIS E,low score
48968,PERODUA,MYVI,H,PERODUA MYVI H,low score
114264,KIA,CERATO,K3,KIA CERATO K3,low score
50100,PORSCHE,CAYENNE,,PORSCHE CAYENNE ,low score
56105,TOYOTA,VIOS,G,TOYOTA VIOS G,low score
113194,TOYOTA,VIOS,E,TOYOTA VIOS E,low score
62328,TOYOTA,VIOS,G,TOYOTA VIOS G,low score
89511,KIA,PICANTO,,KIA PICANTO ,low score
50092,PORSCHE,CAYENNE,,PORSCHE CAYENNE ,low score
102685,PERODUA,BEZZA,X,PERODUA BEZZA X,low score
89518,KIA,PICANTO,,KIA PICANTO ,low score
28029,LEXUS,IS250,,LEXUS IS250 ,low score
102691,PERODUA,MYVI,EZ,PERODUA MYVI EZ,low score
47930,PERODUA,MYVI,SE,PERODUA MYVI SE,low score
62333,TOYOTA,VIOS,G,TOYOTA VIOS G,low score
74404,KIA,SPORTAGE,QL,KIA SPORTAGE QL,low score
111831,TOYOTA,VIOS,J,TOYOTA VIOS J,low score
112187,TOYOTA,CAMRY,V,TOYOTA CAMRY V,low score
8782,BMW,X,X4,BMW X X4,low score
74450,KIA,OPTIMA K5,,KIA OPTIMA K5 ,low score
