id,brand,model,variant,cleaned,matched_candidate,score,reason
40046,MERCEDES-BENZ,S400L-HYBRID,400 L (CBU),MERCEDESBENZ S400LHYBRID 400 L CBU,MERCEDESBENZ SCLASS S400L 30,71,no match at all
40086,MERCEDES-BENZ,S400L-HYBRID,400 L (CBU),MERCEDESBENZ S400LHYBRID 400 L CBU,MERCEDESBENZ SCLASS S400L 30,71,no match at all
40116,MERCEDES-BENZ,S400L-HYBRID,400 L (CBU),MERCEDESBENZ S400LHYBRID 400 L CBU,MERCEDESBENZ SCLASS S400L 30,71,no match at all
84619,LEAPMOTOR,C10,-,LEAPMOTOR C10 ,GREAT WALL MOTOR NO GROUP HAVAL H1 15,62,no match at all
56057,ROLLS-ROYCE,CULLINAN,V12,ROLLSROYCE CULLINAN V12,ROLLSROYCE NO GROUP WRAITH 66 BLACK BADGE,65,no match at all
56067,ROLLS-ROYCE,GHOST,II SWB,ROLLSROYCE GHOST II SWB,ROLLSROYCE NO GROUP WRAITH 66,70,no match at all
5783,BRABUS,B50,PLUG-IN HYBRID,BRABUS B50 PLUGIN HYBRID,NISSAN NO GROUP XTRAIL 20 HYBRID IMPUL,62,no match at all
6692,GOLDEN DRAGON,X5,LUXURY,GOLDEN DRAGON X5 LUXURY,NISSAN NO GROUP GRAND LIVINA 16 LUXURY,61,no match at all
6689,GOLDEN DRAGON,X5,LUXURY,GOLDEN DRAGON X5 LUXURY,NISSAN NO GROUP GRAND LIVINA 16 LUXURY,61,no match at all
84618,LEAPMOTOR,C10,-,LEAPMOTOR C10 ,GREAT WALL MOTOR NO GROUP HAVAL H1 15,62,no match at all
84620,LEAPMOTOR,C10,-,LEAPMOTOR C10 ,GREAT WALL MOTOR NO GROUP HAVAL H1 15,62,no match at all
84621,LEAPMOTOR,C10,-,LEAPMOTOR C10 ,GREAT WALL MOTOR NO GROUP HAVAL H1 15,62,no match at all
84622,LEAPMOTOR,C10,-,LEAPMOTOR C10 ,GREAT WALL MOTOR NO GROUP HAVAL H1 15,62,no match at all
84623,LEAPMOTOR,C10,-,LEAPMOTOR C10 ,GREAT WALL MOTOR NO GROUP HAVAL H1 15,62,no match at all
35485,MERCEDES-BENZ,A45,45 S,MERCEDESBENZ A45 45 S,MERCEDESBENZ SLCLASS SL350 35 AMG,86,no match at all
35506,MERCEDES-BENZ,A45,45 S,MERCEDESBENZ A45 45 S,MERCEDESBENZ SLCLASS SL350 35 AMG,86,no match at all
35516,MERCEDES-BENZ,A45,45 S,MERCEDESBENZ A45 45 S,MERCEDESBENZ SLCLASS SL350 35 AMG,86,no match at all
35527,MERCEDES-BENZ,A45,45 S,MERCEDESBENZ A45 45 S,MERCEDESBENZ SLCLASS SL350 35 AMG,86,no match at all
88370,MERCEDES BENZ,220E,-,MERCEDES BENZ 220E ,MERCEDESBENZ EQ EQV 300 SPORT PREMIUM,72,no match at all
89073,MERCEDES BENZ,230,-,MERCEDES BENZ 230 ,MERCEDESBENZ SCLASS S580 E 30,76,no match at all
89104,MERCEDES BENZ,230E,-,MERCEDES BENZ 230E ,MERCEDESBENZ SCLASS S580 E 30,72,no match at all
89113,MERCEDES BENZ,230E,-,MERCEDES BENZ 230E ,MERCEDESBENZ SCLASS S580 E 30,72,no match at all
89164,MERCEDES BENZ,300E,-,MERCEDES BENZ 300E ,MERCEDESBENZ EQ EQV 300 SPORT PREMIUM,78,no match at all
89166,MERCEDES BENZ,300E,-,MERCEDES BENZ 300E ,MERCEDESBENZ EQ EQV 300 SPORT PREMIUM,78,no match at all
1667,ALFA-ROMEO,4C-SPIDER,,ALFAROMEO 4CSPIDER ,VOLKSWAGEN NO GROUP TIGUAN 14 ALLSPACE LIFE IQDRIVE,50,no match at all
97327,MERCEDES BENZ,SPRINTER,-,MERCEDES BENZ SPRINTER ,MERCEDESBENZ GLACLASS GLA250 20 4MATIC AMG SPORT,68,no match at all
123947,ROLLS ROYCE,SILVER SHADOW,-,ROLLS ROYCE SILVER SHADOW ,ROLLSROYCE NO GROUP GHOST 66 EXTENDED WHEELBASE,67,no match at all
123948,ROLLS ROYCE,SILVER SPIRIT,MK II,ROLLS ROYCE SILVER SPIRIT MK II,ROLLSROYCE NO GROUP WRAITH 66,55,no match at all
123949,ROLLS ROYCE,SPECTRE,LUXURY,ROLLS ROYCE SPECTRE LUXURY,ROLLSROYCE NO GROUP GHOST 66 EXTENDED WHEELBASE,58,no match at all
123966,SAAB,900,SE,SAAB 900 SE,PROTON NO GROUP SATRIA 15 GLI SE,67,no match at all
6690,GOLDEN DRAGON,X5,LUXURY,GOLDEN DRAGON X5 LUXURY,NISSAN NO GROUP GRAND LIVINA 16 LUXURY,61,no match at all
2681,ALFA-ROMEO,4C-SPIDER,18I LUXURY (CKD),ALFAROMEO 4CSPIDER 18I LUXURY CKD,LAND ROVER NO GROUP DISCOVERY 30 TD6 HSE LUXURY,52,no match at all
5365,ALFA-ROMEO,4C-SPIDER,325D,ALFAROMEO 4CSPIDER 325D,FIAT NO GROUP COUPE 20,50,no match at all
66600,ALFA-ROMEO,4C-SPIDER,25I (CKD),ALFAROMEO 4CSPIDER 25I CKD,FIAT NO GROUP COUPE 20,50,no match at all
66604,ALFA-ROMEO,4C-SPIDER,25I SPORTS (CKD),ALFAROMEO 4CSPIDER 25I SPORTS CKD,MERCEDESBENZ CCLASS C250 CGI 18 AMG SPORT,52,no match at all
13084,MAHINDRA,SCORPIO,-,MAHINDRA SCORPIO ,MITSUBISHI NO GROUP TRITON 24 VGT ADVENTURE X UPDATED SPEC DUAL CAB,56,no match at all
66611,ALFA-ROMEO,4C-SPIDER,25I SPORTS (CKD),ALFAROMEO 4CSPIDER 25I SPORTS CKD,MERCEDESBENZ CCLASS C250 CGI 18 AMG SPORT,52,no match at all
66617,ALFA-ROMEO,4C-SPIDER,25I EXCLUSIVE (CKD),ALFAROMEO 4CSPIDER 25I EXCLUSIVE CKD,MERCEDESBENZ CCLASS C250 20 EXCLUSIVE ADVANCE CAR,53,no match at all
66619,ALFA-ROMEO,4C-SPIDER,25I SPORTS (CKD),ALFAROMEO 4CSPIDER 25I SPORTS CKD,MERCEDESBENZ CCLASS C250 CGI 18 AMG SPORT,52,no match at all
3983,ALFA-ROMEO,4C-SPIDER,30LI M SPORT,ALFAROMEO 4CSPIDER 30LI M SPORT,BMW NO GROUP GRAN COUPE M SPORT 15 218I,52,no match at all
2709,ALFA-ROMEO,4C-SPIDER,20I COUPE,ALFAROMEO 4CSPIDER 20I COUPE,FIAT NO GROUP COUPE 20,55,no match at all
