id,brand,model,variant,reason
101085,MERCEDES-BENZ,GLC-CLASS,GLC200,no candidate match
110182,TOYOTA,RUSH,S,low match score
5766,BMW,3 SERIES,330E,no candidate match
52951,TOYOTA,YARIS,E,low match score
96720,BMW,3 SERIES,328I,no candidate match
54079,TOYOTA,VIOS,S,low match score
5753,BMW,I,IX,no candidate match
47414,PERODUA,MYVI,AV,low match score
110187,TOYOTA,LAND CRUISER,AX G,low match score
110966,TOYOTA,COROLLA ALTIS,G,low match score
110982,TOYOTA,VIOS,E,low match score
54315,TOYOTA,VELLFIRE,,missing cleaned source data
5774,BMW,X,X5,no candidate match
110192,TOYOTA,VIOS,J,low match score
110977,TOYOTA,VIOS,G,low match score
5783,BMW,I,IX,no candidate match
90917,MINI,COOPER,S,low match score
48834,PERODUA,ATIVA,AV,low match score
96730,BMW,5 SERIES,530E,no candidate match
5781,BMW,I,IX,no candidate match
103565,PERODUA,ALZA,AV,low match score
6983,BMW,5 SERIES,530I,no candidate match
68133,BENTLEY,BENTAYGA,W12,low match score
111014,TOYOTA,CAMRY,V,low match score
53325,TOYOTA,INNOVA,G,low match score
5808,BMW,1 SERIES,118I,no candidate match
5771,BMW,5 SERIES,530I,no candidate match
5790,BMW,I,I4,no candidate match
111028,TOYOTA,RAV4,,missing cleaned source data
111090,TOYOTA,VIOS,G,low match score
101994,PERODUA,MYVI,SE,low match score
59384,TOYOTA,VIOS,G,low match score
53488,TOYOTA,VELOZ,,missing cleaned source data
5820,BMW,X,X3,no candidate match
101995,PERODUA,MYVI,AV,low match score
16148,HONDA,STREAM,RSZ,low match score
111082,TOYOTA,VIOS,G,low match score
5797,BMW,X,X7,no candidate match
55608,TOYOTA,86,,missing cleaned source data
5810,BMW,1 SERIES,118I,no candidate match
54261,TOYOTA,ALPHARD,G,low match score
51216,TOYOTA,INNOVA,G,low match score
5792,BMW,X,X4,no candidate match
5791,BMW,X,X3,no candidate match
5835,BMW,X,X4,no candidate match
73437,ISUZU,NLR55UEE,,missing cleaned source data
5818,BMW,X,X4,no candidate match
51469,TOYOTA,CAMRY,G X,low match score
111095,TOYOTA,VIOS,G,low match score
56277,TOYOTA,VELLFIRE,Z,low match score
5843,BMW,3 SERIES,318I,no candidate match
51524,TOYOTA,VIOS,E,low match score
101997,PERODUA,ALZA,SE,low match score
52736,TOYOTA,LAND CRUISER PRADO,TX L,low match score
5837,BMW,3 SERIES,330E,no candidate match
5844,BMW,X,X5,no candidate match
53141,TOYOTA,VIOS,G,low match score
97661,HONDA,HR-V,E,low match score
68114,BENTLEY,FLYING SPUR,V8,low match score
5846,BMW,2 SERIES,218I,no candidate match
96751,BMW,X,X3,no candidate match
52964,TOYOTA,CAMRY,E,low match score
5840,BMW,6 SERIES,630I,no candidate match
52798,TOYOTA,COROLLA ALTIS,E,low match score
111122,TOYOTA,YARIS,J,low match score
5875,BMW,X,X3,no candidate match
51490,TOYOTA,VIOS,G,low match score
5879,BMW,5 SERIES,530E,no candidate match
102005,PERODUA,MYVI,SE,low match score
55219,TOYOTA,VIOS,G,low match score
53249,TOYOTA,INNOVA,G,low match score
5863,BMW,X,X1,no candidate match
52655,TOYOTA,CAMRY,G,low match score
96755,BMW,3 SERIES,330E,no candidate match
37491,MERCEDES-BENZ,C-CLASS,C200,no candidate match
42080,MERCEDES-BENZ,ML-CLASS,ML350,no candidate match
55811,TOYOTA,CAMRY,E,low match score
42081,MERCEDES-BENZ,C-CLASS,C200,no candidate match
42084,MERCEDES-BENZ,C-CLASS,C200,no candidate match
52993,TOYOTA,C-HR,,missing cleaned source data
42108,MERCEDES-BENZ,GLA-CLASS,GLA200,no candidate match
52016,TOYOTA,ALPHARD,V,low match score
42096,MERCEDES-BENZ,GLE-CLASS,GLE450,no candidate match
53276,TOYOTA,VIOS,E,low match score
60469,TOYOTA,VIOS,J,low match score
52206,TOYOTA,CAMRY,V,low match score
51264,TOYOTA,ALPHARD,V,low match score
42103,MERCEDES-BENZ,E-CLASS,E350,no candidate match
59341,TOYOTA,SIENTA,V,low match score
96767,BMW,X,X5,no candidate match
111198,TOYOTA,CAMRY,G,low match score
42105,MERCEDES-BENZ,C-CLASS,C200 CGI,no candidate match
42111,MERCEDES-BENZ,A-CLASS,A250,no candidate match
53140,TOYOTA,CAMRY,V,low match score
52199,TOYOTA,INNOVA,G,low match score
111213,TOYOTA,VIOS,G,low match score
42119,MERCEDES-BENZ,C-CLASS,C200,no candidate match
36781,MERCEDES-BENZ,E-CLASS,E200,no candidate match
42122,MERCEDES-BENZ,C-CLASS,C200,no candidate match
42126,MERCEDES-BENZ,GLC-CLASS,GLC250,no candidate match
111221,TOYOTA,VIOS,J,low match score
111223,TOYOTA,VIOS,GX,low match score
96772,BMW,X,X5,no candidate match
110219,TOYOTA,ALPHARD,G S,low match score
51839,TOYOTA,CAMRY,V,low match score
56443,TOYOTA,RUSH,S,low match score
42128,MERCEDES-BENZ,A-CLASS,A250,no candidate match
